"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4811","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 10:09:40 UTC 2026","passed","Fri Mar 13 10:09:45 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","12020","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 10:10:04 UTC 2026","passed","Fri Mar 13 10:10:16 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","11921","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 10:10:16 UTC 2026","passed","Fri Mar 13 10:10:28 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
"","8875","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 10:09:31 UTC 2026","passed","Fri Mar 13 10:09:40 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","19466","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 10:09:11 UTC 2026","passed","Fri Mar 13 10:09:31 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
"","4827","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 10:09:45 UTC 2026","passed","Fri Mar 13 10:09:50 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","13619","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 10:09:50 UTC 2026","passed","Fri Mar 13 10:10:04 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
