"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5631","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 12:08:32 UTC 2026","passed","Fri Mar 13 12:08:37 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","15268","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 12:08:38 UTC 2026","passed","Fri Mar 13 12:08:53 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","5927","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 12:08:25 UTC 2026","passed","Fri Mar 13 12:08:31 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","16411","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 12:09:07 UTC 2026","passed","Fri Mar 13 12:09:24 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
"","8173","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 12:08:17 UTC 2026","passed","Fri Mar 13 12:08:25 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","14256","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 12:08:53 UTC 2026","passed","Fri Mar 13 12:09:07 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","24848","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 12:07:52 UTC 2026","passed","Fri Mar 13 12:08:17 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
