"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8199","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 10:02:18 UTC 2026","passed","Fri Mar 13 10:02:26 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","12526","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 10:02:53 UTC 2026","passed","Fri Mar 13 10:03:05 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","14487","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 10:02:38 UTC 2026","passed","Fri Mar 13 10:02:53 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","5912","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 10:02:32 UTC 2026","passed","Fri Mar 13 10:02:38 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","5840","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 10:02:26 UTC 2026","passed","Fri Mar 13 10:02:32 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","13585","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 10:03:05 UTC 2026","passed","Fri Mar 13 10:03:19 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
"","22871","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 10:01:55 UTC 2026","passed","Fri Mar 13 10:02:17 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
