"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6721","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 00:02:35 UTC 2026","passed","Fri Mar 13 00:02:42 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","120321","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 00:04:50 UTC 2026","broken","Fri Mar 13 00:06:50 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","6813","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 00:02:42 UTC 2026","passed","Fri Mar 13 00:02:48 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","129919","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 00:00:25 UTC 2026","passed","Fri Mar 13 00:02:35 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","120370","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 00:02:49 UTC 2026","broken","Fri Mar 13 00:04:49 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","250411","Autocomplete suggestion is correct","IMDb UI Tests","Thu Mar 12 23:56:14 UTC 2026","failed","Fri Mar 13 00:00:24 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
"","120321","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 00:06:51 UTC 2026","broken","Fri Mar 13 00:08:51 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
