"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10172","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 00:20:38 UTC 2026","passed","Fri Mar 13 00:20:48 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","6108","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 00:20:55 UTC 2026","passed","Fri Mar 13 00:21:01 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","12945","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 00:21:16 UTC 2026","passed","Fri Mar 13 00:21:29 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","6807","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 00:20:48 UTC 2026","passed","Fri Mar 13 00:20:55 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","12507","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 00:21:29 UTC 2026","passed","Fri Mar 13 00:21:41 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
"","14298","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 00:21:01 UTC 2026","passed","Fri Mar 13 00:21:16 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","42470","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 00:19:55 UTC 2026","passed","Fri Mar 13 00:20:38 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
