"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","IMDb Search","0","Autocomplete Search","1","0","Full name search","0"
"0","IMDb Search","0","Google Search Integration","1","0","Google to IMDb navigation","0"
"0","IMDb Awards","0","Oscars","2","0","Oscars winners by year","0"
"0","IMDb Search","0","Google Search Integration","1","0","Google search ranking","0"
"0","IMDb Awards","0","Oscars","1","0","Single category winner smoke","0"
"0","IMDb Search","0","Autocomplete Search","1","0","Movie autocomplete","0"
