"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5039","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 10:18:30 UTC 2026","passed","Fri Mar 13 10:18:35 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","25134","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 10:17:52 UTC 2026","passed","Fri Mar 13 10:18:17 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
"","12488","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 10:19:02 UTC 2026","passed","Fri Mar 13 10:19:15 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
"","7594","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 10:18:17 UTC 2026","passed","Fri Mar 13 10:18:25 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","14141","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 10:18:35 UTC 2026","passed","Fri Mar 13 10:18:49 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","5050","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 10:18:25 UTC 2026","passed","Fri Mar 13 10:18:30 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","12466","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 10:18:50 UTC 2026","passed","Fri Mar 13 10:19:02 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
