"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11842","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 09:52:00 UTC 2026","passed","Fri Mar 13 09:52:12 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","5586","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 09:51:41 UTC 2026","passed","Fri Mar 13 09:51:47 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","7991","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 09:51:28 UTC 2026","passed","Fri Mar 13 09:51:36 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","5027","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 09:51:36 UTC 2026","passed","Fri Mar 13 09:51:41 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","23259","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 09:51:05 UTC 2026","passed","Fri Mar 13 09:51:28 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
"","12918","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 09:51:47 UTC 2026","passed","Fri Mar 13 09:52:00 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","12411","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 09:52:12 UTC 2026","passed","Fri Mar 13 09:52:25 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
