"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14269","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 12:24:19 UTC 2026","passed","Fri Mar 13 12:24:33 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","6758","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 12:23:47 UTC 2026","passed","Fri Mar 13 12:23:54 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","15125","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 12:24:33 UTC 2026","passed","Fri Mar 13 12:24:49 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
"","5518","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 12:23:59 UTC 2026","passed","Fri Mar 13 12:24:05 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","5369","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 12:23:54 UTC 2026","passed","Fri Mar 13 12:23:59 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","13753","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 12:24:05 UTC 2026","passed","Fri Mar 13 12:24:19 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","21580","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 12:23:25 UTC 2026","passed","Fri Mar 13 12:23:47 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
