"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14923","Smoke: verify a single known Oscar winner","IMDb UI Tests","Fri Mar 13 11:28:11 UTC 2026","passed","Fri Mar 13 11:28:26 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testSingleCategoryWinner"
"","13438","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 11:27:44 UTC 2026","passed","Fri Mar 13 11:27:58 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
"","6693","Search returns results for exact movie name","IMDb UI Tests","Fri Mar 13 11:27:27 UTC 2026","passed","Fri Mar 13 11:27:33 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testFullNameSearch"
"","5389","User can find IMDb through Google search","IMDb UI Tests","Fri Mar 13 11:27:39 UTC 2026","passed","Fri Mar 13 11:27:44 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testNavigateToImdbFromGoogle"
"","5119","Google search results contain IMDb as top result","IMDb UI Tests","Fri Mar 13 11:27:34 UTC 2026","passed","Fri Mar 13 11:27:39 UTC 2026","com.imdb.tests.GoogleSearchTest","All Tests","com.imdb.tests.GoogleSearchTest","testImdbInTopGoogleResults"
"","20315","Autocomplete suggestion is correct","IMDb UI Tests","Fri Mar 13 11:27:06 UTC 2026","passed","Fri Mar 13 11:27:27 UTC 2026","com.imdb.tests.AutocompleteSearchTest","All Tests","com.imdb.tests.AutocompleteSearchTest","testAutocompleteSuggestion"
"","13245","Verify Oscar winners for year {0}","IMDb UI Tests","Fri Mar 13 11:27:58 UTC 2026","passed","Fri Mar 13 11:28:11 UTC 2026","com.imdb.tests.OscarsWinnerTest","All Tests","com.imdb.tests.OscarsWinnerTest","testOscarWinners"
